Iout Vout Iin Vin IoutADC ntc ptat
0 1520 +6.39287800E-02 +1.09987600E+0 22 235 483
100 1520 +7.79538100E-02 +1.09987600E+0 22 237 488
200 1520 +9.25608400E-02 +1.09987600E+0 25 239 492
300 1510 +1.07595700E-01 +1.09988200E+0 27 0 494
400 1510 +1.23076400E-01 +1.09988100E+0 31 241 496
500 1510 +1.42577100E-01 +1.09987800E+0 33 243 505
600 1510 +1.59577700E-01 +1.09987600E+0 35 245 512
700 1500 +1.76505600E-01 +1.09988100E+0 38 247 515
800 1500 +1.93320600E-01 +1.09988300E+0 41 248 521
900 1500 +2.10161100E-01 +1.09988300E+0 44 250 528
1000 1490 +2.27117500E-01 +1.09988100E+0 46 252 532
1100 1490 +2.44298500E-01 +1.09988000E+0 49 253 539
1200 1490 +2.61816900E-01 +1.09987900E+0 51 255 544
1300 1490 +2.79362500E-01 +1.09988200E+0 54 257 553
1400 1480 +2.97376900E-01 +1.09987900E+0 57 259 556
1500 1480 +3.15573000E-01 +1.09988600E+0 59 261 564
1600 1480 +3.34102800E-01 +1.09987900E+0 62 263 573
1700 1470 +3.52876400E-01 +1.09988200E+0 65 266 579
1800 1470 +3.72125900E-01 +1.09988200E+0 68 268 590
1900 1470 +3.91553700E-01 +1.09988600E+0 71 271 596
2000 1460 +4.11498200E-01 +1.09988100E+0 0 273 611
2100 1460 +4.31705000E-01 +1.09988500E+0 77 276 619
2200 1460 +4.52316500E-01 +1.09988500E+0 80 278 630
2300 1460 +4.73415700E-01 +1.09987700E+0 83 280 642
2400 1450 +4.95010600E-01 +1.09987900E+0 86 284 658
2500 1450 +5.17072000E-01 +1.09988200E+0 89 287 673
2600 1450 +5.39543000E-01 +1.09988400E+0 92 290 687
2700 1440 +5.62408200E-01 +1.09988500E+0 96 292 699
2800 1440 +5.86008300E-01 +1.09988100E+0 98 295 717
2900 1440 +6.10288200E-01 +1.09988500E+0 102 298 738
3000 1440 +6.35218600E-01 +1.09988300E+0 106 301 752
3100 1430 +6.61036000E-01 +1.09988400E+0 109 304 776
3200 1430 +6.87319700E-01 +1.09988700E+0 112 306 799
3300 1430 +7.14205200E-01 +1.09988300E+0 116 309 816
3400 1430 +7.42123100E-01 +1.09988600E+0 120 312 847
3500 1430 +7.70754900E-01 +1.09988800E+0 124 315 868
3600 1420 +8.00115000E-01 +1.09988600E+0 128 317 896
3700 1420 +8.30180100E-01 +1.09988700E+0 132 320 924
3800 1420 +8.61145800E-01 +1.09988500E+0 136 321 956
3900 1420 +8.92954600E-01 +1.09988700E+0 141 324 1004
4000 1410 +9.25377300E-01 +1.09988600E+0 145 326 1004
