Iout Vout Iin Vin IoutADC ntc ptat
0 1570 +6.75154100E-02 +1.09988300E+0 16 216 490
100 1570 +8.23091700E-02 +1.09987600E+0 16 220 498
200 1560 +9.75879900E-02 +1.09987500E+0 16 220 500
300 1560 +1.12729600E-01 +1.09987600E+0 16 221 502
400 1550 +1.28616600E-01 +1.09988000E+0 16 222 502
500 1550 +1.45413400E-01 +1.09988000E+0 16 223 508
600 1550 +1.63272300E-01 +1.09988100E+0 16 225 512
700 1540 +1.81943300E-01 +1.09987800E+0 16 227 519
800 1540 +2.00152400E-01 +1.09987800E+0 19 229 525
900 1540 +2.17598400E-01 +1.09987900E+0 22 231 532
1000 1530 +2.35136000E-01 +1.09988400E+0 24 232 536
1100 1530 +2.52755300E-01 +1.09988600E+0 28 234 545
1200 1520 +2.70674700E-01 +1.09988200E+0 31 236 550
1300 1520 +2.88722900E-01 +1.09988600E+0 33 238 553
1400 1520 +3.07226600E-01 +1.09988100E+0 37 0 561
1500 1510 +3.25884800E-01 +1.09988600E+0 39 242 567
1600 1510 +3.44934100E-01 +1.09989000E+0 43 245 574
1700 1510 +3.64191100E-01 +1.09988600E+0 45 246 582
1800 1500 +3.83902500E-01 +1.09988300E+0 48 249 592
1900 1500 +4.03870700E-01 +1.09988700E+0 52 251 600
2000 1500 +4.24316300E-01 +1.09988700E+0 55 254 613
2100 1490 +4.45135500E-01 +1.09988200E+0 57 257 623
2200 1490 +4.66405700E-01 +1.09988900E+0 61 259 631
2300 1490 +4.88149300E-01 +1.09989000E+0 64 262 646
2400 1480 +5.10348900E-01 +1.09988900E+0 68 265 657
2500 1480 +5.32986300E-01 +1.09988900E+0 71 268 669
2600 1480 +5.56286300E-01 +1.09988800E+0 75 287 684
2700 1470 +5.80040600E-01 +1.09988400E+0 78 274 698
2800 1470 +6.04286100E-01 +1.09988000E+0 82 277 717
2900 1470 +6.29085500E-01 +1.09988200E+0 85 280 735
3000 1460 +6.54833900E-01 +1.09988100E+0 89 283 750
3100 1460 +6.81085400E-01 +1.09988500E+0 94 287 769
3200 1460 +7.07915200E-01 +1.09988700E+0 97 290 795
3300 1450 +7.35406400E-01 +1.09988500E+0 101 293 814
3400 1450 +7.63888200E-01 +1.09988700E+0 105 296 838
3500 1450 +7.93050400E-01 +1.09988600E+0 110 299 858
3600 1440 +8.22977500E-01 +1.09988700E+0 115 302 887
3700 1440 +8.54181900E-01 +1.09988700E+0 118 304 915
3800 1440 +8.86217900E-01 +1.09988500E+0 123 307 975
3900 1430 +9.18859300E-01 +1.09988500E+0 128 309 960
4000 1430 +9.53410000E-01 +1.09989200E+0 133 313 960
