Iout Vout Iin Vin IoutADC ntc ptat
0 1560 +6.61646600E-02 +1.09986900E+0 19 231 460
100 1560 +8.07218900E-02 +1.09986900E+0 19 234 465
200 1560 +9.58869700E-02 +1.09987400E+0 19 235 468
300 1550 +1.10914600E-01 +1.09988000E+0 19 237 472
400 1540 +1.26649700E-01 +1.09987700E+0 19 238 474
500 1540 +1.43312600E-01 +1.09987600E+0 19 239 479
600 1540 +1.61140500E-01 +1.09988000E+0 22 241 487
700 1540 +1.79755300E-01 +1.09988200E+0 25 244 494
800 1530 +1.98025700E-01 +1.09988100E+0 27 246 503
900 1530 +2.15449800E-01 +1.09988000E+0 30 248 507
1000 1520 +2.32920100E-01 +1.09987800E+0 33 250 516
1100 1520 +2.50525900E-01 +1.09987400E+0 35 252 522
1200 1520 +2.68415300E-01 +1.09987700E+0 38 254 529
1300 1510 +2.86451300E-01 +1.09987700E+0 41 257 533
1400 1510 +3.04990200E-01 +1.09987900E+0 44 259 540
1500 1510 +3.23663600E-01 +1.09987400E+0 46 261 552
1600 1510 +3.42780500E-01 +1.09987500E+0 49 264 558
1700 1500 +3.62243400E-01 +1.09987700E+0 52 267 569
1800 1500 +3.82305100E-01 +1.09987700E+0 55 269 578
1900 1500 +4.02706200E-01 +1.09987700E+0 58 0 591
2000 1490 +4.23612000E-01 +1.09987300E+0 61 275 603
2100 1490 +4.44906200E-01 +1.09987400E+0 64 278 613
2200 1490 +4.66819700E-01 +1.09987400E+0 67 281 630
2300 1480 +4.89224900E-01 +1.09987000E+0 70 284 646
2400 1480 +5.12216400E-01 +1.09987300E+0 73 287 661
2500 1480 +5.35764500E-01 +1.09987200E+0 76 291 676
2600 1480 +5.60054500E-01 +1.09987900E+0 79 294 693
2700 1470 +5.84975600E-01 +1.09987400E+0 83 297 715
2800 1470 +6.10562300E-01 +1.09987800E+0 87 300 736
2900 1470 +6.36690300E-01 +1.09987700E+0 90 303 755
3000 1470 +6.63809900E-01 +1.09988000E+0 93 307 781
3100 1460 +6.91659300E-01 +1.09988000E+0 97 309 804
3200 1460 +7.20247200E-01 +1.09988200E+0 101 312 832
3300 1460 +7.49613600E-01 +1.09988200E+0 104 315 862
3400 1460 +7.80203800E-01 +1.09987700E+0 108 318 889
3500 1460 +8.11047500E-01 +1.09988600E+0 112 320 920
3600 1450 +8.43418500E-01 +1.09988500E+0 117 323 955
3700 1450 +8.76849200E-01 +1.09988300E+0 121 325 1008
3800 1450 +9.04033100E-01 +1.09988400E+0 124 324 1010
3900 10 +3.76039800E-02 +1.09987800E+0 20 325 1019
4000 1440 +9.63036300E-01 +1.09988600E+0 130 324 999
