Iout Vout Iin Vin IoutADC ntc ptat
0 1570 +4.22782800E-01 +1.09989600E+0 19 216 382
100 1540 +4.37683100E-01 +1.09989200E+0 39 221 393
200 1530 +4.52651400E-01 +1.09989100E+0 65 224 397
300 1510 +4.67614000E-01 +1.09989400E+0 91 226 396
400 1490 +4.83549400E-01 +1.09989400E+0 119 227 403
500 1470 +5.00029000E-01 +1.09989300E+0 146 229 410
600 1450 +5.18102500E-01 +1.09989600E+0 174 232 416
700 1440 +5.37668500E-01 +1.09989300E+0 201 235 426
800 1420 +5.56642900E-01 +1.09989700E+0 228 238 433
900 1400 +5.74552700E-01 +1.09989300E+0 256 241 441
1000 1380 +5.92464000E-01 +1.09989700E+0 284 243 448
1100 1370 +6.10692300E-01 +1.09989500E+0 312 246 458
1200 1360 +6.29225600E-01 +1.09989000E+0 339 249 463
1300 1340 +6.48133100E-01 +1.09989500E+0 367 252 472
1400 1320 +6.67537400E-01 +1.09989400E+0 396 254 485
1500 1310 +6.87179600E-01 +1.09989600E+0 424 258 492
1600 1290 +7.07156100E-01 +1.09990200E+0 454 260 500
1700 1270 +7.27321900E-01 +1.09989600E+0 481 262 510
1800 1260 +7.48658500E-01 +1.09990100E+0 513 267 524
1900 1240 +7.70507200E-01 +1.09989700E+0 542 270 536
2000 1230 +7.93472100E-01 +1.09990100E+0 574 274 554
2100 1210 +8.16837300E-01 +1.09989700E+0 605 277 569
2200 1200 +8.41045000E-01 +1.09990200E+0 636 281 585
2300 1190 +8.67102600E-01 +1.09989600E+0 669 285 601
2400 1180 +8.93755600E-01 +1.09989800E+0 702 289 624
2500 1180 +9.22382500E-01 +1.09989800E+0 736 292 646
2600 1180 +9.55903000E-01 +1.09990100E+0 772 297 669
2700 1180 +9.87587900E-01 +1.09990100E+0 804 299 695
2800 1180 +1.02103000E+00 +1.09989600E+0 842 303 722
2900 1190 +1.05821700E+00 +1.09990000E+0 881 307 752
3000 1100 +1.07043000E+00 +1.09990400E+0 919 309 782
3100 1060 +1.09392600E+00 +1.09990400E+0 986 312 816
3200 1090 +1.13894300E+00 +1.09990300E+0 986 315 843
3300 1100 +1.18184000E+00 +1.09990800E+0 986 317 882
3400 1070 +1.21304000E+00 +1.09990400E+0 986 320 934
3500 1130 +1.27446200E+00 +1.09990400E+0 986 321 989
3600 1070 +1.29281200E+00 +1.09989700E+0 20 322 981
3700 1100 +1.33355600E+00 +1.09989400E+0 17 318 894
3800 1050 +1.35486600E+00 +1.09990200E+0 19 318 920
3900 0 +3.96269100E-01 +1.09989100E+0 19 322 972
4000 0 +3.96236900E-01 +1.09989800E+0 19 0 978
