Iout Vout Iin Vin IoutADC ntc ptat
0 1530 +4.30915000E-01 +1.09988500E+0 26 253 362
100 1520 +4.44834000E-01 +1.09988800E+0 26 247 350
200 1510 +4.59201300E-01 +1.09988100E+0 40 244 347
300 1500 +4.73604300E-01 +1.09988500E+0 62 243 349
400 1490 +4.88952700E-01 +1.09988900E+0 85 243 349
500 1480 +5.04812700E-01 +1.09988400E+0 108 243 349
600 1480 +5.22155300E-01 +1.09988400E+0 131 245 353
700 1470 +5.41846800E-01 +1.09988600E+0 154 249 365
800 1460 +5.59499700E-01 +1.09988700E+0 178 251 373
900 1450 +5.76670300E-01 +1.09988100E+0 201 254 372
1000 1440 +5.93888500E-01 +1.09988300E+0 224 255 382
1100 1430 +6.11175700E-01 +1.09988300E+0 248 258 388
1200 1420 +6.28845800E-01 +1.09988200E+0 270 260 396
1300 1410 +6.46643600E-01 +1.09988800E+0 294 263 402
1400 1400 +6.64833800E-01 +1.09988600E+0 318 266 410
1500 1390 +6.83242400E-01 +1.09988600E+0 342 268 418
1600 1390 +7.01896700E-01 +1.09988300E+0 366 271 425
1700 1380 +7.20948600E-01 +1.09988500E+0 390 274 432
1800 1370 +7.40449000E-01 +1.09988500E+0 416 277 442
1900 1360 +7.60302400E-01 +1.09988600E+0 442 280 456
2000 1350 +7.80537200E-01 +1.09988800E+0 468 283 469
2100 1340 +8.01034700E-01 +1.09988500E+0 494 286 475
2200 1330 +8.22242400E-01 +1.09988300E+0 520 289 488
2300 1320 +8.43779200E-01 +1.09988100E+0 547 292 502
2400 1320 +8.65813600E-01 +1.09988500E+0 574 296 516
2500 1310 +8.88343200E-01 +1.09988500E+0 601 299 537
2600 1300 +9.11698600E-01 +1.09988200E+0 629 302 551
2700 1290 +9.35558900E-01 +1.09988500E+0 658 306 565
2800 1280 +9.60612600E-01 +1.09988500E+0 688 310 586
2900 1280 +9.85853000E-01 +1.09988700E+0 717 314 609
3000 1270 +1.01205800E+00 +1.09988900E+0 748 317 637
3100 1260 +1.03875700E+00 +1.09988700E+0 778 320 655
3200 1250 +1.06636600E+00 +1.09988800E+0 811 323 682
3300 1250 +1.09496700E+00 +1.09988300E+0 843 326 701
3400 1240 +1.12465700E+00 +1.09988800E+0 876 329 730
3500 1230 +1.15481800E+00 +1.09989000E+0 912 332 761
3600 1230 +1.18693500E+00 +1.09989000E+0 949 334 791
3700 1220 +1.22039700E+00 +1.09989300E+0 990 337 827
3800 1210 +1.25531100E+00 +1.09988700E+0 991 339 867
3900 1200 +1.28442000E+00 +1.09988900E+0 29 340 876
4000 1190 +1.30748500E+00 +1.09989300E+0 29 338 846
