Iout Vout Iin Vin IoutADC ntc ptat
0 1540 +6.57914800E-02 +1.09987900E+0 31 238 486
100 1540 +8.00860700E-02 +1.09987400E+0 0 241 486
200 1530 +9.46550200E-02 +1.09987900E+0 36 243 495
300 1530 +1.09839000E-01 +1.09988000E+0 38 244 495
400 1530 +1.25181500E-01 +1.09988000E+0 42 245 494
500 1520 +1.41341200E-01 +1.09987600E+0 45 246 501
600 1520 +1.58827400E-01 +1.09987600E+0 48 248 511
700 1520 +1.77458700E-01 +1.09987700E+0 51 251 512
800 1510 +1.95859600E-01 +1.09987100E+0 53 254 528
900 1510 +2.13272300E-01 +1.09987300E+0 57 0 530
1000 1510 +2.30674300E-01 +1.09987800E+0 60 258 539
1100 1500 +2.48154900E-01 +1.09987900E+0 62 261 545
1200 1500 +2.65908000E-01 +1.09988200E+0 65 263 549
1300 1500 +2.83835100E-01 +1.09988400E+0 68 265 565
1400 1490 +3.02203700E-01 +1.09988000E+0 72 268 572
1500 1490 +3.20825700E-01 +1.09987800E+0 75 270 576
1600 1490 +3.39806500E-01 +1.09988300E+0 78 273 582
1700 1480 +3.59165500E-01 +1.09988300E+0 81 275 594
1800 1480 +3.79092500E-01 +1.09988300E+0 84 279 608
1900 1480 +3.99261500E-01 +1.09987900E+0 88 282 621
2000 1470 +4.20003500E-01 +1.09988200E+0 91 284 632
2100 1470 +4.41137600E-01 +1.09988200E+0 95 287 646
2200 1470 +4.62933400E-01 +1.09988600E+0 98 290 657
2300 1470 +4.85174500E-01 +1.09988500E+0 101 294 675
2400 1460 +5.07989600E-01 +1.09988400E+0 105 297 694
2500 1460 +5.31388600E-01 +1.09988900E+0 108 300 712
2600 1450 +5.55487500E-01 +1.09989000E+0 112 304 730
2700 1450 +5.80026200E-01 +1.09989100E+0 116 307 755
2800 1450 +6.05457100E-01 +1.09988800E+0 120 311 777
2900 1450 +6.31468100E-01 +1.09988500E+0 124 314 795
3000 1440 +6.58500100E-01 +1.09989600E+0 129 317 824
3100 1440 +6.85919700E-01 +1.09989400E+0 133 320 846
3200 1440 +7.14047300E-01 +1.09989500E+0 137 323 881
3300 1430 +7.43191000E-01 +1.09988900E+0 141 325 904
3400 1430 +7.73254800E-01 +1.09988700E+0 146 329 938
3500 1430 +8.04625600E-01 +1.09989000E+0 150 331 978
3600 1430 +8.36971400E-01 +1.09988900E+0 155 333 1016
3700 1430 +8.71032100E-01 +1.09989100E+0 160 336 1016
3800 1420 +8.99190500E-01 +1.09989000E+0 163 336 1011
3900 1420 +9.19085700E-01 +1.09989200E+0 165 331 994
4000 1410 +9.44688900E-01 +1.09989200E+0 168 331 961
