Iout Vout Iin Vin IoutADC ntc ptat
0 5650 +2.26334400E-01 +1.09987500E+0 22 294 919
100 6590 +4.06469700E-01 +1.09987800E+0 22 306 304
200 6750 +5.29188200E-01 +1.09988000E+0 24 318 470
300 9270 +5.94289700E-01 +1.09988000E+0 23 324 291
400 0 +4.61514400E-02 +1.09987500E+0 22 289 603
500 0 +4.61599600E-02 +1.09987100E+0 22 259 521
600 0 +4.61607600E-02 +1.09987700E+0 22 244 489
700 0 +4.61770100E-02 +1.09987600E+0 22 237 476
800 0 +4.61751400E-02 +1.09987900E+0 22 234 469
900 0 +4.62044400E-02 +1.09988400E+0 22 233 467
1000 0 +4.61802000E-02 +1.09987900E+0 22 232 465
