Iout Vout Iin Vin IoutADC ntc ptat
0 1560 +6.63902800E-02 +1.09990500E+0 24 235 514
100 1560 +8.07170900E-02 +1.09990000E+0 24 237 517
200 1550 +9.53292000E-02 +1.09990400E+0 26 238 518
300 1550 +1.10433800E-01 +1.09990800E+0 30 239 523
400 1540 +1.25950000E-01 +1.09990900E+0 32 0 521
500 1540 +1.42175700E-01 +1.09990900E+0 34 241 526
600 1540 +1.59748000E-01 +1.09991100E+0 37 243 534
700 1530 +1.78671500E-01 +1.09990400E+0 40 245 537
800 1530 +1.97179200E-01 +1.09990900E+0 42 247 544
900 1530 +2.14735400E-01 +1.09990700E+0 45 249 550
1000 1520 +2.32199300E-01 +1.09991000E+0 48 251 555
1100 1520 +2.49713400E-01 +1.09990500E+0 51 253 561
1200 1520 +2.67540900E-01 +1.09990700E+0 53 255 567
1300 1510 +2.85462300E-01 +1.09990700E+0 56 257 569
1400 1510 +3.03828800E-01 +1.09991300E+0 58 258 577
1500 1510 +3.22352300E-01 +1.09991100E+0 61 261 581
1600 1500 +3.41302200E-01 +1.09990900E+0 64 263 590
1700 1500 +3.60493900E-01 +1.09991600E+0 66 266 597
1800 1500 +3.80192000E-01 +1.09990700E+0 69 268 605
1900 1500 +4.00169300E-01 +1.09991500E+0 73 271 614
2000 1490 +4.20670500E-01 +1.09990800E+0 75 274 622
2100 1490 +4.41450600E-01 +1.09991100E+0 78 276 631
2200 1490 +4.62839400E-01 +1.09991400E+0 81 279 643
2300 1480 +4.84587400E-01 +1.09991300E+0 84 282 657
2400 1480 +5.06789900E-01 +1.09991100E+0 87 286 667
2500 1480 +5.29665800E-01 +1.09990800E+0 90 289 683
2600 1470 +5.52957700E-01 +1.09991000E+0 94 292 698
2700 1470 +5.76864700E-01 +1.09991200E+0 96 295 711
2800 1470 +6.01455500E-01 +1.09991200E+0 100 298 726
2900 1470 +6.26558200E-01 +1.09991400E+0 104 301 743
3000 1460 +6.52378400E-01 +1.09990700E+0 108 305 763
3100 1460 +6.78734700E-01 +1.09990800E+0 111 308 780
3200 1460 +7.05967500E-01 +1.09991000E+0 115 311 802
3300 1460 +7.33864200E-01 +1.09990500E+0 118 314 825
3400 1450 +7.62493800E-01 +1.09990800E+0 122 317 847
3500 1450 +7.91780400E-01 +1.09990900E+0 125 320 871
3600 1450 +8.22182700E-01 +1.09991100E+0 130 323 901
3700 1450 +8.53328500E-01 +1.09991200E+0 133 326 924
3800 1440 +8.85594600E-01 +1.09990900E+0 138 329 955
3900 1440 +9.18952500E-01 +1.09991200E+0 143 332 990
4000 1440 +9.53646800E-01 +1.09991200E+0 147 335 1020
