Iout Vout Iin Vin IoutADC ntc ptat
0 8.3882e+06 +1.54620600E-01 +1.09986500E+0 19 311 579
100 7550 +2.17031800E-01 +1.09987000E+0 24 318 339
200 7330 +2.79424000E-01 +1.09987300E+0 22 323 339
300 7110 +3.44600100E-01 +1.09986900E+0 36 327 529
400 6900 +4.07768800E-01 +1.09987000E+0 40 331 541
500 6690 +4.72623800E-01 +1.09986900E+0 46 334 588
600 6610 +5.50321800E-01 +1.09987600E+0 37 337 614
700 6520 +6.26895900E-01 +1.09987500E+0 39 341 495
800 6440 +6.98098200E-01 +1.09987700E+0 40 342 586
900 10 +4.11858200E-02 +1.09987100E+0 19 344 609
1000 6410 +8.24647700E-01 +1.09987900E+0 48 348 559
