Iout Vout Iin Vin IoutADC ntc ptat
0 1550 +4.23315800E-01 +1.09988900E+0 28 0 438
100 1540 +4.37941000E-01 +1.09989000E+0 54 212 442
200 1520 +4.53167000E-01 +1.09990100E+0 82 215 446
300 1500 +4.68330800E-01 +1.09989400E+0 109 216 450
400 1490 +4.84316000E-01 +1.09989300E+0 137 218 454
500 1470 +5.01405800E-01 +1.09989200E+0 166 219 460
600 1460 +5.20994500E-01 +1.09989500E+0 195 222 464
700 1440 +5.38496700E-01 +1.09989700E+0 224 225 478
800 1430 +5.55665100E-01 +1.09989300E+0 252 226 480
900 1410 +5.72678700E-01 +1.09989700E+0 280 228 486
1000 1400 +5.89958000E-01 +1.09989300E+0 309 231 492
1100 1380 +6.07257200E-01 +1.09989300E+0 337 232 497
1200 1360 +6.24938400E-01 +1.09989500E+0 366 235 504
1300 1350 +6.42720300E-01 +1.09989400E+0 393 237 506
1400 1330 +6.60932600E-01 +1.09989400E+0 423 239 517
1500 1320 +6.79272800E-01 +1.09989400E+0 452 241 523
1600 1300 +6.98021500E-01 +1.09989800E+0 483 244 533
1700 1290 +7.17087000E-01 +1.09990000E+0 512 247 543
1800 1270 +7.36499600E-01 +1.09989800E+0 542 249 549
1900 1260 +7.56146600E-01 +1.09990300E+0 572 251 562
2000 1240 +7.76280500E-01 +1.09990000E+0 603 255 566
2100 1230 +7.96785400E-01 +1.09989500E+0 634 258 583
2200 1210 +8.17669900E-01 +1.09990000E+0 665 260 593
2300 1200 +8.39077300E-01 +1.09989800E+0 697 264 606
2400 1180 +8.60764900E-01 +1.09990100E+0 728 267 617
2500 1170 +8.83018300E-01 +1.09989500E+0 761 270 631
2600 1150 +9.05850200E-01 +1.09990300E+0 794 273 647
2700 1140 +9.29199400E-01 +1.09989700E+0 828 276 662
2800 1120 +9.53345100E-01 +1.09989700E+0 863 279 683
2900 1110 +9.78311100E-01 +1.09989700E+0 899 282 699
3000 1090 +1.00374300E+00 +1.09989600E+0 934 286 717
3100 1080 +1.02994300E+00 +1.09989800E+0 961 289 737
3200 1070 +1.05699600E+00 +1.09990100E+0 961 292 759
3300 1060 +1.08457800E+00 +1.09990600E+0 961 295 782
3400 1040 +1.11338400E+00 +1.09990400E+0 961 298 804
3500 1030 +1.14332700E+00 +1.09990100E+0 961 300 832
3600 1020 +1.17449700E+00 +1.09989900E+0 961 303 857
3700 1010 +1.20706800E+00 +1.09990300E+0 961 306 889
3800 1000 +1.24064200E+00 +1.09990300E+0 961 308 922
3900 990 +1.27609200E+00 +1.09990100E+0 961 310 952
4000 990 +1.31485200E+00 +1.09990500E+0 961 311 983
