Iout Vout Iin Vin IoutADC ntc ptat
0 1520 +6.63327400E-02 +1.09987000E+0 24 238 492
100 1510 +8.02970400E-02 +1.09987200E+0 23 239 493
200 1510 +9.46768700E-02 +1.09987000E+0 23 239 492
300 1500 +1.09716500E-01 +1.09987100E+0 23 0 492
400 1500 +1.24930000E-01 +1.09987500E+0 28 241 496
500 1500 +1.41245800E-01 +1.09987300E+0 31 242 500
600 1490 +1.60454400E-01 +1.09986500E+0 34 244 507
700 1490 +1.77749300E-01 +1.09987500E+0 36 246 512
800 1490 +1.94873200E-01 +1.09987200E+0 39 247 519
900 1490 +2.11693500E-01 +1.09987500E+0 42 249 522
1000 1480 +2.28659000E-01 +1.09987400E+0 44 250 526
1100 1480 +2.45716900E-01 +1.09987500E+0 47 252 535
1200 1470 +2.63051000E-01 +1.09987300E+0 50 253 537
1300 1470 +2.80524400E-01 +1.09987800E+0 53 255 546
1400 1470 +2.98404500E-01 +1.09987300E+0 56 257 547
1500 1460 +3.16483900E-01 +1.09987800E+0 58 258 554
1600 1460 +3.34913600E-01 +1.09987500E+0 61 260 563
1700 1460 +3.53674900E-01 +1.09987500E+0 64 262 568
1800 1460 +3.72741800E-01 +1.09987700E+0 67 265 577
1900 1450 +3.92080800E-01 +1.09987800E+0 70 267 588
2000 1450 +4.11816200E-01 +1.09987900E+0 73 269 592
2100 1440 +4.31909100E-01 +1.09987500E+0 76 271 603
2200 1440 +4.52472400E-01 +1.09987300E+0 79 274 614
2300 1440 +4.73323300E-01 +1.09987100E+0 82 276 622
2400 1440 +4.94549600E-01 +1.09987700E+0 85 279 634
2500 1430 +5.16344200E-01 +1.09987300E+0 89 281 646
2600 1430 +5.38617100E-01 +1.09987400E+0 92 284 655
2700 1430 +5.61295600E-01 +1.09987200E+0 95 287 674
2800 1420 +5.84592800E-01 +1.09987900E+0 99 290 686
2900 1420 +6.08281700E-01 +1.09987600E+0 102 293 703
3000 1420 +6.32771200E-01 +1.09987600E+0 105 295 717
3100 1410 +6.57766300E-01 +1.09987700E+0 109 298 733
3200 1410 +6.83385700E-01 +1.09987600E+0 112 301 751
3300 1410 +7.09561300E-01 +1.09987900E+0 116 304 769
3400 1410 +7.36592800E-01 +1.09988000E+0 120 307 791
3500 1400 +7.64156500E-01 +1.09987400E+0 124 309 811
3600 1400 +7.92576300E-01 +1.09987500E+0 128 312 829
3700 1400 +8.21514100E-01 +1.09987300E+0 132 315 856
3800 1390 +8.51579000E-01 +1.09988100E+0 136 317 879
3900 1390 +8.82341700E-01 +1.09988200E+0 140 320 911
4000 1390 +9.14084100E-01 +1.09987700E+0 145 322 938
