Iout Vout Iin Vin IoutADC ntc ptat
0 1540 +4.31056200E-01 +1.09989600E+0 34 234 412
100 1520 +4.45422100E-01 +1.09989800E+0 57 235 415
200 1500 +4.60370700E-01 +1.09989700E+0 79 236 414
300 1480 +4.75466000E-01 +1.09990200E+0 102 237 416
400 1460 +4.90965600E-01 +1.09990200E+0 125 238 420
500 1440 +5.07592500E-01 +1.09990100E+0 149 240 423
600 1430 +5.25488100E-01 +1.09989900E+0 173 242 432
700 1410 +5.44224400E-01 +1.09990200E+0 197 245 438
800 1390 +5.62087200E-01 +1.09990400E+0 220 249 445
900 1370 +5.79388800E-01 +1.09990300E+0 245 251 455
1000 1360 +5.96773000E-01 +1.09990600E+0 268 253 457
1100 1340 +6.14264500E-01 +1.09990500E+0 291 256 468
1200 1320 +6.32019500E-01 +1.09989900E+0 315 258 471
1300 1300 +6.50137200E-01 +1.09989700E+0 339 261 478
1400 1280 +6.68601300E-01 +1.09990200E+0 364 264 491
1500 1270 +6.87319200E-01 +1.09989900E+0 388 266 496
1600 1250 +7.06597200E-01 +1.09989700E+0 414 270 504
1700 1230 +7.26188000E-01 +1.09990100E+0 440 273 517
1800 1210 +7.46395100E-01 +1.09990300E+0 466 276 525
1900 1200 +7.66869200E-01 +1.09990100E+0 492 279 535
2000 1180 +7.88203100E-01 +1.09989700E+0 519 282 552
2100 1170 +8.09840300E-01 +1.09990000E+0 545 286 563
2200 1150 +8.32496900E-01 +1.09990300E+0 573 290 580
2300 1130 +8.55642700E-01 +1.09990400E+0 601 294 596
2400 1120 +8.79055000E-01 +1.09989700E+0 629 296 609
2500 1100 +9.03876200E-01 +1.09989900E+0 657 300 625
2600 1090 +9.29592500E-01 +1.09989600E+0 686 303 645
2700 1080 +9.56536900E-01 +1.09989900E+0 717 307 667
2800 1060 +9.83674400E-01 +1.09990400E+0 747 310 686
2900 1050 +1.01175300E+00 +1.09989900E+0 778 313 708
3000 1040 +1.04245800E+00 +1.09990400E+0 812 316 737
3100 1030 +1.07413100E+00 +1.09990300E+0 845 318 766
3200 1020 +1.10688800E+00 +1.09990400E+0 879 321 792
3300 1020 +1.14133700E+00 +1.09990400E+0 914 324 820
3400 970 +1.14440000E+00 +1.09990000E+0 22 321 861
3500 0 +4.03821200E-01 +1.09989800E+0 22 324 908
3600 940 +1.21021000E+00 +1.09990800E+0 954 319 769
3700 950 +1.25629100E+00 +1.09990800E+0 21 323 842
3800 920 +1.27682100E+00 +1.09990700E+0 22 321 819
3900 910 +1.30893600E+00 +1.09990500E+0 22 321 833
4000 840 +4.03789000E-01 +1.09989900E+0 22 322 890
