Iout Vout Iin Vin IoutADC ntc ptat
0 1550 +6.41650500E-02 +1.09987800E+0 0 244 532
100 1540 +7.87321300E-02 +1.09988100E+0 21 249 544
200 1540 +9.38199600E-02 +1.09988900E+0 24 252 552
300 1540 +1.08842000E-01 +1.09988300E+0 26 253 558
400 1530 +1.24499100E-01 +1.09988300E+0 29 255 561
500 1530 +1.41058800E-01 +1.09988300E+0 32 257 568
600 1530 +1.58821000E-01 +1.09988300E+0 34 259 577
700 1520 +1.77402500E-01 +1.09988000E+0 38 263 586
800 1520 +1.95573300E-01 +1.09988100E+0 40 265 599
900 1520 +2.13066400E-01 +1.09988000E+0 43 268 608
1000 1510 +2.30680500E-01 +1.09988100E+0 47 271 617
1100 1510 +2.48437800E-01 +1.09988500E+0 50 273 628
1200 1510 +2.66506000E-01 +1.09988600E+0 53 276 637
1300 1500 +2.84853400E-01 +1.09988300E+0 56 279 651
1400 1500 +3.03587500E-01 +1.09988700E+0 59 281 659
1500 1500 +3.22665800E-01 +1.09989000E+0 62 283 674
1600 1490 +3.42281900E-01 +1.09988500E+0 65 287 688
1700 1490 +3.62303300E-01 +1.09988600E+0 68 289 705
1800 1490 +3.83047800E-01 +1.09988300E+0 72 292 721
1900 1490 +4.04191200E-01 +1.09988600E+0 75 295 739
2000 1480 +4.26048200E-01 +1.09988500E+0 79 298 761
2100 1480 +4.48406500E-01 +1.09988400E+0 82 301 783
2200 1480 +4.71360700E-01 +1.09988600E+0 86 303 802
2300 1480 +4.95348400E-01 +1.09988800E+0 90 306 827
2400 1470 +5.19777200E-01 +1.09988600E+0 93 309 856
2500 1470 +5.45483500E-01 +1.09988500E+0 97 311 882
2600 1470 +5.71458000E-01 +1.09988900E+0 102 313 913
2700 1470 +5.98640300E-01 +1.09988600E+0 106 316 970
2800 1460 +6.27214500E-01 +1.09989400E+0 110 318 970
2900 1460 +6.42682700E-01 +1.09989300E+0 111 312 897
3000 1460 +6.78550100E-01 +1.09989200E+0 117 319 1007
3100 1450 +7.00441700E-01 +1.09989200E+0 119 317 1003
3200 1450 +7.26712800E-01 +1.09989700E+0 123 316 1008
3300 0 +3.61794500E-02 +1.09988600E+0 127 318 1018
3400 1430 +7.59337400E-01 +1.09988800E+0 16 312 950
3500 0 +3.62012900E-02 +1.09989200E+0 132 316 975
3600 1430 +8.28650100E-01 +1.09989900E+0 134 313 975
3700 1430 +8.54742100E-01 +1.09989300E+0 137 312 938
3800 0 +3.62239300E-02 +1.09989500E+0 142 314 962
3900 0 +3.60689100E-02 +1.09988100E+0 16 314 1006
4000 1420 +9.41279400E-01 +1.09989500E+0 148 312 953
