Iout Vout Iin Vin IoutADC ntc ptat
0 1530 +6.62059500E-02 +1.09987400E+0 22 252 533
100 1530 +8.04464700E-02 +1.09987300E+0 26 0 537
200 1530 +9.48862300E-02 +1.09987600E+0 0 257 542
300 1520 +1.09876600E-01 +1.09987600E+0 32 259 547
400 1520 +1.26841500E-01 +1.09988500E+0 36 261 550
500 1520 +1.45317200E-01 +1.09988300E+0 38 263 561
600 1510 +1.62362900E-01 +1.09988000E+0 42 266 571
700 1510 +1.79313900E-01 +1.09987900E+0 45 268 573
800 1510 +1.96329500E-01 +1.09988200E+0 48 271 582
900 1500 +2.13330400E-01 +1.09988400E+0 51 273 593
1000 1500 +2.30482800E-01 +1.09988400E+0 54 275 600
1100 1500 +2.47739700E-01 +1.09988700E+0 58 277 607
1200 1490 +2.65376100E-01 +1.09988100E+0 61 279 614
1300 1490 +2.83053500E-01 +1.09988300E+0 64 282 619
1400 1480 +3.01237100E-01 +1.09988800E+0 68 285 628
1500 1480 +3.19526700E-01 +1.09988500E+0 72 287 641
1600 1480 +3.38189400E-01 +1.09988400E+0 75 290 651
1700 1480 +3.57220300E-01 +1.09988100E+0 78 293 661
1800 1470 +3.76676300E-01 +1.09988300E+0 82 296 674
1900 1470 +3.96324800E-01 +1.09988700E+0 86 299 685
2000 1470 +4.16400400E-01 +1.09988700E+0 89 301 698
2100 1460 +4.36851500E-01 +1.09987700E+0 92 304 712
2200 1460 +4.57762900E-01 +1.09988500E+0 96 308 727
2300 1460 +4.79129600E-01 +1.09988400E+0 100 311 746
2400 1450 +5.00947200E-01 +1.09988500E+0 104 314 763
2500 1450 +5.23386200E-01 +1.09988500E+0 108 318 781
2600 1450 +5.46491700E-01 +1.09988300E+0 112 321 800
2700 1440 +5.70116300E-01 +1.09988500E+0 117 324 824
2800 1440 +5.94310200E-01 +1.09988700E+0 121 327 844
2900 1440 +6.19104100E-01 +1.09988500E+0 124 331 868
3000 1430 +6.44801400E-01 +1.09988700E+0 129 334 892
3100 1430 +6.71240200E-01 +1.09988800E+0 133 337 926
3200 1430 +6.98462100E-01 +1.09989000E+0 139 340 953
3300 1430 +7.26282500E-01 +1.09988800E+0 144 342 986
3400 1420 +7.55394300E-01 +1.09989000E+0 148 346 1020
3500 1420 +7.85327900E-01 +1.09989300E+0 154 349 1023
3600 1420 +8.16452300E-01 +1.09988700E+0 160 351 1023
3700 1420 +8.40753800E-01 +1.09988500E+0 162 350 1022
3800 1410 +8.69197000E-01 +1.09988700E+0 166 350 1023
3900 1400 +8.84980600E-01 +1.09988900E+0 167 344 985
4000 1390 +8.94621300E-01 +1.09988100E+0 23 347 1023
