Iout Vout Iin Vin IoutADC ntc ptat
0 1560 +4.51598400E-01 +1.09990800E+0 19 233 443
100 1550 +4.66367400E-01 +1.09990500E+0 34 241 457
200 1540 +4.81300500E-01 +1.09990400E+0 56 246 463
300 1530 +4.96361400E-01 +1.09990600E+0 78 249 467
400 1520 +5.12219000E-01 +1.09991000E+0 101 251 475
500 1510 +5.28860300E-01 +1.09990700E+0 124 254 476
600 1500 +5.46305500E-01 +1.09990800E+0 146 257 488
700 1490 +5.64605700E-01 +1.09991400E+0 170 260 496
800 1480 +5.82817300E-01 +1.09991400E+0 194 264 506
900 1470 +6.00282100E-01 +1.09991300E+0 217 266 509
1000 1460 +6.17727300E-01 +1.09990900E+0 241 270 521
1100 1450 +6.35378900E-01 +1.09991100E+0 264 272 529
1200 1440 +6.53289700E-01 +1.09991400E+0 288 274 532
1300 1430 +6.71378100E-01 +1.09990900E+0 312 278 543
1400 1420 +6.89913300E-01 +1.09991100E+0 337 280 548
1500 1410 +7.08762000E-01 +1.09991400E+0 361 284 561
1600 1400 +7.28035500E-01 +1.09991900E+0 387 287 575
1700 1400 +7.47671800E-01 +1.09991000E+0 412 289 587
1800 1390 +7.67978800E-01 +1.09991500E+0 439 292 593
1900 1380 +7.88532600E-01 +1.09991100E+0 466 296 607
2000 1370 +8.09760200E-01 +1.09991000E+0 492 299 623
2100 1360 +8.31386000E-01 +1.09990800E+0 519 302 636
2200 1350 +8.53920300E-01 +1.09991300E+0 548 306 658
2300 1340 +8.76829300E-01 +1.09992000E+0 577 309 670
2400 1330 +9.00523400E-01 +1.09991000E+0 606 312 692
2500 1320 +9.24961000E-01 +1.09991300E+0 636 315 714
2600 1310 +9.50214200E-01 +1.09991500E+0 666 318 733
2700 1310 +9.76020300E-01 +1.09991200E+0 698 321 755
2800 1300 +1.00288900E+00 +1.09991600E+0 730 324 781
2900 1290 +1.03044100E+00 +1.09991400E+0 762 327 813
3000 1280 +1.05916800E+00 +1.09992300E+0 797 329 840
3100 1280 +1.08896600E+00 +1.09992000E+0 831 331 866
3200 1260 +1.10892000E+00 +1.09992200E+0 844 328 830
3300 1250 +1.13048400E+00 +1.09992100E+0 863 324 790
3400 1240 +1.15915400E+00 +1.09992000E+0 892 325 815
3500 1230 +1.19189600E+00 +1.09991900E+0 928 328 867
3600 1220 +1.20510100E+00 +1.09991900E+0 932 324 731
3700 0 +4.21906700E-01 +1.09991600E+0 19 327 916
3800 0 +4.21879000E-01 +1.09990500E+0 19 326 904
3900 1190 +1.29304300E+00 +1.09991800E+0 16 323 795
4000 0 +4.21915000E-01 +1.09990700E+0 19 328 953
