Iout Vout Iin Vin IoutADC ntc ptat
0 1570 +6.56263400E-02 +1.09987800E+0 24 254 497
100 1570 +8.02466900E-02 +1.09988300E+0 24 257 508
200 1560 +9.50737500E-02 +1.09987700E+0 24 259 506
300 1560 +1.10051300E-01 +1.09987800E+0 30 260 513
400 1560 +1.25735800E-01 +1.09987300E+0 32 261 512
500 1550 +1.41943200E-01 +1.09988400E+0 35 262 520
600 1550 +1.59550600E-01 +1.09987800E+0 38 264 522
700 1540 +1.79519600E-01 +1.09987700E+0 41 267 528
800 1540 +1.97665600E-01 +1.09987000E+0 44 269 541
900 1540 +2.15228000E-01 +1.09987700E+0 46 0 549
1000 1530 +2.32781300E-01 +1.09987600E+0 50 274 554
1100 1530 +2.50473400E-01 +1.09987000E+0 52 276 564
1200 1530 +2.68494700E-01 +1.09987800E+0 55 278 569
1300 1530 +2.86638600E-01 +1.09987700E+0 58 281 574
1400 1520 +3.05157500E-01 +1.09987700E+0 61 283 581
1500 1520 +3.23931300E-01 +1.09987800E+0 64 286 590
1600 1520 +3.43087900E-01 +1.09987600E+0 67 288 603
1700 1510 +3.62560700E-01 +1.09988000E+0 70 291 612
1800 1510 +3.82543500E-01 +1.09987700E+0 72 294 624
1900 1510 +4.02710400E-01 +1.09987400E+0 76 297 636
2000 1500 +4.23434600E-01 +1.09987800E+0 79 300 650
2100 1500 +4.44556200E-01 +1.09987900E+0 82 303 661
2200 1500 +4.66183300E-01 +1.09987400E+0 85 306 674
2300 1500 +4.88384800E-01 +1.09987400E+0 89 309 689
2400 1490 +5.10987900E-01 +1.09987900E+0 92 312 707
2500 1490 +5.34128800E-01 +1.09988300E+0 95 316 724
2600 1490 +5.58000300E-01 +1.09987900E+0 99 319 745
2700 1480 +5.82406500E-01 +1.09988100E+0 103 322 766
2800 1480 +6.07545100E-01 +1.09987500E+0 107 326 788
2900 1480 +6.33339900E-01 +1.09987900E+0 110 329 814
3000 1480 +6.59864700E-01 +1.09988300E+0 114 332 834
3100 1470 +6.86925200E-01 +1.09988700E+0 118 335 860
3200 1470 +7.15012800E-01 +1.09988500E+0 122 339 889
3300 1470 +7.43994400E-01 +1.09988700E+0 126 342 919
3400 1470 +7.73885500E-01 +1.09988400E+0 131 345 958
3500 1470 +8.04381400E-01 +1.09987500E+0 136 348 984
3600 1460 +8.36558000E-01 +1.09988000E+0 140 350 1023
3700 0 +3.82547200E-02 +1.09987300E+0 145 353 1023
3800 1460 +8.96282000E-01 +1.09987600E+0 148 352 1023
3900 1440 +8.96388600E-01 +1.09986800E+0 26 349 1022
4000 1450 +9.51261500E-01 +1.09988200E+0 153 350 1023
