Iout Vout Iin Vin IoutADC ntc ptat
0 1560 +6.64851000E-02 +1.09989300E+0 22 285 568
100 1560 +8.10838900E-02 +1.09988900E+0 23 0 576
200 1560 +9.63560400E-02 +1.09989000E+0 23 290 581
300 1550 +1.11680100E-01 +1.09989400E+0 22 292 584
400 1550 +1.27847300E-01 +1.09989600E+0 23 295 599
500 1540 +1.45444300E-01 +1.09989400E+0 22 298 611
600 1540 +1.64607800E-01 +1.09989200E+0 22 301 632
700 1540 +1.83200200E-01 +1.09989100E+0 23 306 650
800 1540 +2.00846000E-01 +1.09989200E+0 28 309 668
900 1530 +2.18409700E-01 +1.09989500E+0 31 311 679
1000 1530 +2.36423900E-01 +1.09988900E+0 34 314 693
1100 1530 +2.54997900E-01 +1.09989100E+0 38 318 720
1200 1530 +2.73552200E-01 +1.09989400E+0 41 319 733
1300 1520 +2.92617500E-01 +1.09989600E+0 44 322 753
1400 1520 +3.12710600E-01 +1.09989600E+0 48 326 785
1500 1520 +3.33349000E-01 +1.09989700E+0 51 330 816
1600 1520 +3.54569600E-01 +1.09990400E+0 55 332 848
1700 1520 +3.76692000E-01 +1.09989800E+0 59 0 882
1800 1520 +3.99714400E-01 +1.09990000E+0 63 338 920
1900 1520 +4.23292900E-01 +1.09989600E+0 66 340 959
2000 1510 +4.48464100E-01 +1.09989300E+0 70 343 1017
2100 0 +3.95596500E-02 +1.09989500E+0 24 343 1017
2200 1510 +4.90807600E-01 +1.09990200E+0 76 342 985
2300 0 +3.95529900E-02 +1.09989100E+0 24 342 1020
2400 1500 +5.40554300E-01 +1.09989600E+0 84 345 1011
2500 1490 +5.59456800E-01 +1.09989300E+0 87 341 970
2600 1490 +5.78675200E-01 +1.09989700E+0 88 337 909
2700 1480 +5.98233800E-01 +1.09989300E+0 92 338 820
2800 1480 +6.22647300E-01 +1.09989500E+0 0 338 837
2900 1480 +6.53097900E-01 +1.09990000E+0 99 339 938
3000 1480 +6.85941500E-01 +1.09990100E+0 0 342 1023
3100 0 +3.91039000E-02 +1.09989300E+0 0 344 1011
3200 1460 +2.97014700E-01 +1.09988600E+0 24 339 1021
3300 0 +3.89560600E-02 +1.09989100E+0 24 344 1011
3400 1450 +7.64524900E-01 +1.09989300E+0 24 339 1012
3500 0 +3.90341100E-02 +1.09989700E+0 24 342 1012
3600 0 +4.27424700E-02 +1.09989700E+0 124 341 1015
3700 1450 +8.63858500E-01 +1.09989700E+0 126 338 930
3800 1440 +8.82141900E-01 +1.09989800E+0 24 339 1019
3900 1430 +9.03208900E-01 +1.09989300E+0 24 339 1023
4000 1430 +9.45546600E-01 +1.09990300E+0 135 337 886
