Iout Vout Iin Vin IoutADC ntc ptat
0 1520 +6.80295000E-02 +1.09987700E+0 18 230 483
100 1510 +8.25196100E-02 +1.09987400E+0 18 232 481
200 1510 +9.70691100E-02 +1.09987500E+0 21 233 488
300 1510 +1.11770200E-01 +1.09987300E+0 23 234 493
400 1500 +1.27402500E-01 +1.09987500E+0 26 235 491
500 1500 +1.43862600E-01 +1.09987400E+0 28 236 495
600 1500 +1.61286500E-01 +1.09987100E+0 31 238 502
700 1500 +1.79288100E-01 +1.09987400E+0 34 0 506
800 1490 +1.96865700E-01 +1.09987900E+0 36 242 513
900 1490 +2.13850800E-01 +1.09987100E+0 39 243 519
1000 1490 +2.30867200E-01 +1.09987500E+0 41 245 526
1100 1480 +2.48064100E-01 +1.09987000E+0 44 247 526
1200 1480 +2.65578800E-01 +1.09987900E+0 47 248 536
1300 1480 +2.83229600E-01 +1.09987500E+0 49 250 536
1400 1470 +3.01189400E-01 +1.09987600E+0 52 252 545
1500 1470 +3.19498200E-01 +1.09988100E+0 54 254 554
1600 1470 +3.38039200E-01 +1.09987600E+0 58 0 561
1700 1470 +3.56929900E-01 +1.09987900E+0 60 258 567
1800 1460 +3.76279100E-01 +1.09987900E+0 0 261 578
1900 1460 +3.95916000E-01 +1.09987500E+0 66 263 585
2000 1450 +4.16007200E-01 +1.09987600E+0 69 266 597
2100 1450 +4.36475900E-01 +1.09988200E+0 72 268 604
2200 1450 +4.57471800E-01 +1.09988200E+0 75 271 618
2300 1440 +4.78778800E-01 +1.09987700E+0 78 273 627
2400 1440 +5.00714900E-01 +1.09988000E+0 81 276 641
2500 1440 +5.23244200E-01 +1.09988400E+0 85 280 655
2600 1430 +5.46185600E-01 +1.09988200E+0 87 282 670
2700 1430 +5.69643300E-01 +1.09988200E+0 91 285 684
2800 1430 +5.93743100E-01 +1.09988200E+0 93 288 702
2900 1430 +6.18411600E-01 +1.09987800E+0 97 291 721
3000 1420 +6.43858400E-01 +1.09988800E+0 100 294 738
3100 1420 +6.69885200E-01 +1.09988500E+0 104 297 756
3200 1420 +6.96695600E-01 +1.09988300E+0 108 300 776
3300 1420 +7.24314400E-01 +1.09987900E+0 112 302 797
3400 1410 +7.52639800E-01 +1.09988100E+0 115 306 822
3500 1410 +7.81459700E-01 +1.09988300E+0 119 308 845
3600 1410 +8.11560500E-01 +1.09988100E+0 123 311 873
3700 1410 +8.42478300E-01 +1.09988500E+0 127 314 897
3800 1410 +8.74254000E-01 +1.09988200E+0 132 316 927
3900 1400 +9.07399100E-01 +1.09988100E+0 136 318 998
4000 1400 +9.41718200E-01 +1.09988500E+0 140 320 998
