Iout Vout Iin Vin IoutADC ntc ptat
0 1530 +6.78590200E-02 +1.09988100E+0 27 236 403
100 1530 +8.22431100E-02 +1.09988000E+0 0 239 408
200 1520 +9.71943000E-02 +1.09987500E+0 32 241 414
300 1520 +1.11997100E-01 +1.09987600E+0 36 241 416
400 1510 +1.27690900E-01 +1.09988000E+0 38 242 418
500 1510 +1.44500600E-01 +1.09988400E+0 41 243 419
600 1510 +1.62441200E-01 +1.09988000E+0 44 245 428
700 1500 +1.80811200E-01 +1.09987700E+0 47 247 435
800 1500 +1.98476400E-01 +1.09987600E+0 51 249 444
900 1500 +2.15649600E-01 +1.09987400E+0 53 251 450
1000 1490 +2.32868900E-01 +1.09987800E+0 57 253 456
1100 1490 +2.50241400E-01 +1.09987900E+0 60 254 459
1200 1490 +2.67952400E-01 +1.09988200E+0 62 0 466
1300 1480 +2.85773400E-01 +1.09987500E+0 66 258 472
1400 1480 +3.04031300E-01 +1.09987600E+0 69 260 480
1500 1480 +3.22542500E-01 +1.09988100E+0 72 262 490
1600 1470 +3.41472400E-01 +1.09988200E+0 75 264 493
1700 1470 +3.60723500E-01 +1.09988300E+0 78 267 504
1800 1470 +3.80456300E-01 +1.09988300E+0 82 269 513
1900 1460 +4.00557700E-01 +1.09988100E+0 85 272 524
2000 1460 +4.21256200E-01 +1.09988500E+0 88 274 534
2100 1460 +4.42385300E-01 +1.09988600E+0 91 277 548
2200 1460 +4.63916300E-01 +1.09987900E+0 95 280 563
2300 1450 +4.85970900E-01 +1.09988200E+0 99 283 575
2400 1440 +5.08508000E-01 +1.09988400E+0 102 286 590
2500 1440 +5.31707000E-01 +1.09988500E+0 106 290 604
2600 1440 +5.55605900E-01 +1.09988300E+0 110 293 619
2700 1440 +5.80038200E-01 +1.09988700E+0 113 296 637
2800 1430 +6.05281600E-01 +1.09988500E+0 117 300 658
2900 1430 +6.30987300E-01 +1.09988100E+0 121 303 677
3000 1430 +6.57607500E-01 +1.09988300E+0 125 305 703
3100 1430 +6.84697900E-01 +1.09988200E+0 129 309 722
3200 1420 +7.12641400E-01 +1.09988900E+0 133 312 751
3300 1420 +7.41347000E-01 +1.09989200E+0 137 315 773
3400 1420 +7.71019200E-01 +1.09989400E+0 142 318 799
3500 1410 +8.01382900E-01 +1.09989200E+0 147 322 830
3600 1410 +8.33561900E-01 +1.09988700E+0 152 324 864
3700 1410 +8.66134600E-01 +1.09988900E+0 157 328 896
3800 1410 +9.00113700E-01 +1.09989400E+0 162 331 930
3900 1410 +9.34824300E-01 +1.09988500E+0 167 333 970
4000 1410 +9.71032600E-01 +1.09988700E+0 172 335 1008
