Iout Vout Iin Vin IoutADC ntc ptat
0 1530 +6.59387900E-02 +1.09993200E+0 23 232 430
100 1530 +8.02544200E-02 +1.09993200E+0 23 237 434
200 1520 +9.50737500E-02 +1.09992700E+0 23 238 443
300 1520 +1.10084900E-01 +1.09993000E+0 23 240 443
400 1520 +1.25503500E-01 +1.09992700E+0 23 241 445
500 1510 +1.41974300E-01 +1.09993000E+0 23 242 448
600 1510 +1.61051000E-01 +1.09993700E+0 27 244 462
700 1510 +1.78644300E-01 +1.09993200E+0 30 246 467
800 1500 +1.95924300E-01 +1.09993200E+0 33 248 468
900 1500 +2.12907100E-01 +1.09993100E+0 36 250 477
1000 1500 +2.30054200E-01 +1.09994000E+0 40 251 483
1100 1490 +2.47392300E-01 +1.09993200E+0 42 254 491
1200 1490 +2.64934200E-01 +1.09993100E+0 46 255 493
1300 1490 +2.82683600E-01 +1.09993400E+0 49 257 502
1400 1480 +3.00763800E-01 +1.09993900E+0 52 259 509
1500 1480 +3.19122000E-01 +1.09992900E+0 56 262 513
1600 1480 +3.37712100E-01 +1.09993200E+0 59 264 520
1700 1470 +3.56676900E-01 +1.09993100E+0 62 266 528
1800 1470 +3.76016700E-01 +1.09993000E+0 66 268 541
1900 1470 +3.95614700E-01 +1.09993600E+0 68 271 544
2000 1460 +4.15740600E-01 +1.09994000E+0 72 274 558
2100 1460 +4.35953100E-01 +1.09993700E+0 75 276 567
2200 1460 +4.56889800E-01 +1.09993800E+0 79 279 580
2300 1450 +4.78136000E-01 +1.09993500E+0 82 282 593
2400 1450 +4.99821800E-01 +1.09993400E+0 86 285 604
2500 1450 +5.21918000E-01 +1.09994000E+0 90 272 622
2600 1440 +5.44648200E-01 +1.09993600E+0 93 291 639
2700 1440 +5.67813600E-01 +1.09993500E+0 97 294 650
2800 1440 +5.91649900E-01 +1.09993700E+0 101 297 665
2900 1430 +6.15955900E-01 +1.09993100E+0 105 300 682
3000 1430 +6.41151100E-01 +1.09993000E+0 109 303 702
3100 1430 +6.66782000E-01 +1.09994300E+0 113 306 720
3200 1430 +6.93051600E-01 +1.09994000E+0 117 310 745
3300 1420 +7.20283700E-01 +1.09993800E+0 121 312 767
3400 1420 +7.48357500E-01 +1.09993700E+0 126 315 788
3500 1420 +7.76985800E-01 +1.09993500E+0 130 318 812
3600 1420 +8.06501200E-01 +1.09994000E+0 135 321 841
3700 1420 +8.37013500E-01 +1.09994100E+0 139 324 870
3800 1410 +8.68354500E-01 +1.09993900E+0 144 326 899
3900 1410 +9.00730400E-01 +1.09993500E+0 149 329 931
4000 1410 +9.34574400E-01 +1.09993200E+0 154 332 967
